вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
OM3	0 428 245 3 -3	0 480 297 4 -2	0 354 171 5 -2	0 332 149 6 -1	0 288 105 5 -1	0 297 114 1 -5	0 283 100 9 3	0 292 109 6 0	0 280 96 6 -1	0 310 127 8 2	0 282 99 4 -2	0 260 77 6 0	
OM4	0 334 164 8 4	0 362 191 7 3	0 328 157 2 -2	0 317 146 6 2	0 285 114 6 2	0 287 117 9 5	0 274 103 3 -1	0 274 103 1 -3	0 254 83 5 1	0 294 124 6 2	0 307 137 8 4	0 254 83 7 3	
OM5	0 351 167 8 3	0 396 211 2 -3	0 351 166 6 1	0 318 133 2 -3	0 361 176 12 7	0 312 128 5 0	0 320 135 4 -1	0 313 129 2 -3	0 269 84 4 -1	0 322 138 7 2	0 303 119 7 2	0 307 122 4 -1	
OM6	0 423 224 8 3	1 361 161 11 6	0 366 166 13 8	0 311 111 6 1	0 368 168 17 12	0 313 114 10 5	0 325 125 8 3	0 335 135 6 1	0 325 124 10 5	0 327 127 7 2	0 336 136 11 6	0 351 151 6 1	
OM7	0 458 241 8 1	0 423 206 13 6	0 377 160 5 -2	0 393 176 11 4	0 366 149 9 2	0 373 156 5 -2	0 354 137 3 -4	0 308 91 3 -4	1 375 157 9 2	0 369 152 11 4	1 365 148 9 2	0 346 129 13 6	
OM8	0 393 177 7 -1	0 414 197 14 6	0 336 119 10 2	0 355 138 5 -3	0 365 148 5 -3	0 363 147 6 -2	0 356 139 8 0	0 355 139 10 2	0 360 142 6 -2	0 347 131 10 2	0 320 104 13 5	0 336 119 6 -2	
OM9	0 498 219 13 1	0 471 192 12 0	0 471 191 14 2	0 480 201 11 -1	0 451 172 12 0	0 436 157 11 -1	0 426 147 12 0	0 443 164 17 5	0 465 184 13 1	0 477 198 17 5	0 450 171 17 5	0 383 104 10 -2	
OM10	2 529 257 23 5	0 506 233 14 -4	0 479 206 16 -2	0 449 176 18 0	0 424 151 19 1	0 483 211 23 5	0 438 165 25 7	1 398 126 16 -2	0 422 148 23 4	0 423 151 23 5	0 419 147 16 -2	0 388 115 20 2	
OM11	0 430 184 6 1	0 435 188 4 -1	0 446 199 6 1	0 421 174 8 3	0 406 159 8 3	0 403 157 5 0	0 395 148 4 -1	0 370 124 3 -2	0 389 141 6 1	0 435 189 5 0	1 366 120 4 -1	0 407 160 6 1	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 214 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	0 819 671 28 24	0 878 730 22 18	0 499 351 7 3	0 498 350 10 6	0 340 192 5 1	0 362 214 7 3	0 330 182 4 0	0 277 129 5 1	0 242 93 3 -1	0 254 106 11 7	0 267 119 6 2	0 235 87 1 -3	
OM1	0 568 406 10 5	0 604 442 15 10	0 364 201 7 2	0 365 203 8 3	0 286 124 7 2	0 290 128 7 2	0 292 130 6 1	0 245 83 5 0	0 292 129 3 -2	0 286 124 8 3	0 306 144 6 1	0 262 100 10 5	
OM2	0 429 264 10 5	0 465 300 11 6	0 324 159 9 4	0 385 220 4 -1	0 271 106 7 2	0 294 129 3 -2	0 280 115 7 2	0 257 92 3 -2	0 293 127 8 3	0 262 97 1 -4	0 272 107 9 4	0 261 96 4 -1	
OM3	0 369 197 10 4	0 437 264 10 4	0 344 171 4 -2	0 308 135 4 -2	0 333 160 5 -1	0 312 140 6 0	0 278 105 6 0	0 271 98 6 0	0 263 89 4 -2	0 278 105 5 -1	0 265 92 5 -1	0 289 116 4 -2	
OM4	0 330 144 9 5	0 399 212 6 2	0 331 144 4 0	0 319 132 4 0	0 291 104 14 10	0 359 173 4 0	0 289 102 4 0	0 302 115 7 3	0 315 127 6 2	0 284 98 5 1	0 262 76 5 1	0 269 82 4 0	
OM5	0 341 163 10 6	0 355 177 8 4	0 309 130 6 2	0 325 146 7 3	0 282 104 6 2	0 271 93 6 2	0 311 133 6 2	0 282 104 8 4	0 299 120 5 1	0 260 82 2 -2	0 295 117 6 2	0 280 102 10 6	
OM6	0 352 162 9 4	0 374 183 3 -2	0 339 148 11 6	0 310 119 8 3	0 315 124 8 3	0 297 107 10 5	0 328 137 5 0	0 290 99 6 1	0 317 125 10 5	0 315 124 4 -1	0 339 148 11 6	0 262 71 8 3	
OM7	0 398 174 7 -2	0 429 204 13 4	0 368 143 17 8	0 377 152 16 7	0 375 150 10 1	0 320 96 7 -2	0 366 141 8 -1	1 358 133 10 1	1 345 119 9 0	0 367 142 21 12	0 339 114 7 -2	0 356 131 7 -2	
OM8	0 420 173 8 2	0 460 213 8 2	0 438 190 5 -2	0 452 204 5 -2	0 409 162 7 1	0 402 155 6 0	0 425 178 4 -2	0 431 184 5 -1	0 388 139 4 -3	0 411 164 3 -3	0 364 117 10 4	0 358 111 8 2	
OM9	0 404 171 7 -3	0 438 205 9 -1	0 390 156 11 1	0 399 165 11 1	0 361 128 9 -1	0 362 129 8 -2	0 396 163 9 -1	0 389 156 11 1	0 356 121 9 -1	0 377 144 9 -1	0 383 150 20 10	0 360 127 6 -4	
OM10	1 529 245 12 0	0 524 239 14 2	0 466 181 18 6	0 423 138 11 -1	0 471 186 16 4	0 452 168 20 8	0 442 157 17 5	0 521 236 14 2	0 486 200 8 -4	1 455 170 9 -3	0 464 179 10 -2	1 447 162 10 -2	
OM11	0 469 214 9 0	0 455 199 13 4	0 430 174 7 -2	0 469 213 5 -4	0 464 208 15 6	0 454 199 8 -1	0 438 182 6 -3	0 423 167 12 3	0 462 205 12 3	0 438 182 13 4	0 419 163 12 3	0 393 137 13 4	вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 195 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	170 1116 882 1418 1406	161 1147 913 1318 1306	43 1305 1070 628 616	45 1279 1044 672 660	3 1330 1096 387 375	5 1276 1042 400 388	0 1247 1013 341 329	0 1272 1038 341 329	1 1188 952 64 52	0 1144 910 68 56	0 506 272 24 12	0 466 232 13 1	
OM1	12 888 707 684 679	20 928 746 684 679	4 1092 910 345 340	4 1075 893 338 333	0 1046 864 343 338	0 1011 830 368 363	0 1079 897 297 292	0 1081 899 299 294	0 932 749 36 31	0 963 782 35 30	0 369 188 6 1	0 325 143 8 3	
OM2	24 877 719 670 666	23 924 765 664 660	10 1146 987 259 255	7 1106 947 281 277	1 1007 848 363 359	1 1056 898 352 348	0 1010 851 370 366	0 1001 842 352 348	0 912 753 54 50	0 926 767 52 48	0 338 179 6 2	0 353 194 7 3	
OM3	21 825 647 659 655	10 883 704 616 612	6 1124 945 298 294	7 1078 899 308 304	1 977 798 381 377	2 1027 848 351 347	0 1028 849 323 319	0 1028 849 315 311	0 915 735 33 29	0 909 730 44 40	0 378 199 4 0	2 310 131 2 -2	
OM4	8 980 823 393 389	6 954 797 419 415	0 1091 933 250 246	1 1052 894 252 248	0 1006 849 327 323	0 971 814 384 380	0 1063 906 252 248	0 1011 854 265 261	0 769 611 21 17	0 822 665 18 14	0 301 144 3 -1	0 311 154 4 0	
OM5	3 1037 864 355 352	2 1033 860 376 373	0 1066 893 308 305	0 1052 879 311 308	0 1044 871 309 306	1 1032 859 301 298	0 1106 933 161 158	0 1069 896 160 157	0 674 500 12 9	0 702 529 17 14	0 325 152 2 -1	0 327 154 6 3	
OM6	4 1206 1029 345 338	2 1224 1046 310 303	0 1044 866 381 374	0 1075 897 392 385	0 1137 959 237 230	0 1158 981 230 223	0 1130 952 92 85	0 1110 932 74 67	0 582 403 10 3	0 631 453 3 -4	0 316 138 8 1	0 307 129 7 0	
OM7	2 1015 856 322 318	1 1052 893 324 320	0 1057 898 300 296	0 1014 855 324 320	0 1001 842 152 148	0 1001 842 124 120	0 783 624 38 34	0 860 701 46 42	0 400 240 4 0	0 422 263 4 0	0 292 133 6 2	0 252 93 6 2	
OM8	0 1019 859 370 365	0 1047 886 385 380	1 1008 847 264 259	1 1070 909 218 213	0 904 743 71 66	0 906 746 58 53	1 708 547 18 13	0 649 489 31 26	0 345 184 7 2	0 343 183 4 -1	1 290 130 5 0	0 269 108 7 2	
